time,latitude,longitude,mag,id,updated,place,type,geom,state
2014-12-29 17:50:55-05,36.7545,-98.1778,3.1,usc000takq,2014-12-29 20:53:36.056-05,"15km E of Cherokee, Oklahoma",earthquake,0101000020AD100000A54E4013618B58C07F6ABC7493604240,Oklahoma
2014-12-29 16:15:55.2-05,36.8363,-97.8757,3.3,usc000tajx,2015-01-29 13:16:07.085-05,"13km WNW of Medford, Oklahoma",earthquake,0101000020AD100000DC4603780B7858C089D2DEE00B6B4240,Oklahoma
2011-11-05 13:42:26-04,35.53,-96.766,3.2,usp000jach,2014-11-06 20:46:18-05,Oklahoma,earthquake,0101000020AD1000001B2FDD24063158C0A4703D0AD7C34140,Oklahoma
2014-12-29 08:30:05.1-05,36.361,-97.4511,3,usc000taic,2015-02-03 23:59:38.122-05,"16km WNW of Perry, Oklahoma",earthquake,0101000020AD10000070CE88D2DE5C58C091ED7C3F352E4240,Oklahoma
2014-12-28 10:02:56.7-05,35.8147,-97.4181,3,usc000tadx,2015-01-17 04:58:29.936-05,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD100000499D8026C25A58C08E06F01648E84140,Oklahoma
2014-12-27 16:39:57-05,36.2837,-96.8918,3.4,usc000ta8y,2015-02-01 09:53:58.379-05,"9km SW of Pawnee, Oklahoma",earthquake,0101000020AD100000A9A44E40133958C007F0164850244240,Oklahoma
2014-12-27 11:17:14.5-05,35.9107,-97.2513,3,usc000ta7c,2015-01-29 08:37:51.342-05,"3km S of Langston, Oklahoma",earthquake,0101000020AD100000075F984C155058C0CD3B4ED191F44140,Oklahoma
2014-12-27 03:21:36.2-05,35.8143,-97.4177,3,usc000ta60,2015-02-06 17:09:53.521-05,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD10000082E2C798BB5A58C000917EFB3AE84140,Oklahoma
2014-12-26 18:03:37.5-05,35.8104,-97.416,3.1,usc000ta2x,2015-01-30 22:34:26.672-05,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD100000B4C876BE9F5A58C0D656EC2FBBE74140,Oklahoma
2014-12-26 17:12:57.3-05,36.8021,-98.1623,3,usc000ta2z,2015-01-29 17:26:49.786-05,"18km ENE of Cherokee, Oklahoma",earthquake,0101000020AD10000003098A1F638A58C0910F7A36AB664240,Oklahoma
