time,latitude,longitude,mag,id,updated,place,type,geom,state
2014-12-30 00:12:02.71-05,35.9366667,-117.2221667,3.47,ci37300152,2015-02-19 21:27:38.024-05,"23km NE of Trona, California",earthquake,0101000020AD100000A9B0ADFA374E5DC04AE0C5B1E4F74140,California
2012-08-27 03:24:12.06-04,7.853,-78.214,4.3,usp000jqve,2014-11-06 20:48:37.813-05,Panama,earthquake,0101000020AD10000004560E2DB28D53C0B6F3FDD478691F40,
2014-12-29 23:13:42-05,12.817,-88.558,4.3,usc000tapp,2015-02-19 21:24:36.573-05,"51km S of Puerto El Triunfo, El Salvador",earthquake,0101000020AD100000C0CAA145B62356C0FCA9F1D24DA22940,
2014-12-29 23:08:52.2-05,14.837,-93.656,3.7,usc000te0p,2015-02-07 17:16:57.585-05,"104km SW of Mapastepec, Mexico",earthquake,0101000020AD100000448B6CE7FB6957C0068195438BAC2D40,
2014-12-29 17:50:55-05,36.7545,-98.1778,3.1,usc000takq,2014-12-29 20:53:36.056-05,"15km E of Cherokee, Oklahoma",earthquake,0101000020AD100000A54E4013618B58C07F6ABC7493604240,Oklahoma
2014-12-29 16:15:55.2-05,36.8363,-97.8757,3.3,usc000tajx,2015-01-29 13:16:07.085-05,"13km WNW of Medford, Oklahoma",earthquake,0101000020AD100000DC4603780B7858C089D2DEE00B6B4240,Oklahoma
2011-11-05 13:42:26-04,35.53,-96.766,3.2,usp000jach,2014-11-06 20:46:18-05,Oklahoma,earthquake,0101000020AD1000001B2FDD24063158C0A4703D0AD7C34140,Oklahoma
2014-12-29 13:42:20.95-05,40.2961667,-124.517,3.63,nc72372181,2015-01-30 19:18:12.506-05,"37km SW of Ferndale, California",earthquake,0101000020AD1000000D022B8716215FC0065559CAE8254440,
2013-07-01 20:17:28.09-04,17.059,-95.429,4.4,usp000k1mt,2014-11-06 20:51:11.256-05,"Oaxaca, Mexico",earthquake,0101000020AD100000FA7E6ABC74DB57C0C976BE9F1A0F3140,
2013-06-07 18:33:11.19-04,17.26,-95.576,4.1,usp000k15f,2014-11-06 20:51:02.709-05,"Oaxaca, Mexico",earthquake,0101000020AD100000BF9F1A2FDDE457C0C3F5285C8F423140,
2010-03-30 20:42:19-04,44.672,-68.752,3,usp000ha5h,2015-01-28 16:43:35.797-05,Maine,earthquake,0101000020AD100000E3A59BC4203051C0BC74931804564640,Maine
2014-12-29 12:54:59-05,52.7627,-167.9703,3,usc000tbsa,2015-01-30 06:39:48.732-05,"63km ESE of Nikolski, Alaska",earthquake,0101000020AD100000E2E995B20CFF64C061545227A0614A40,
2010-01-13 18:54:16.6-05,18.412,-72.579,4.5,usp000h62y,2014-11-06 20:40:27.536-05,Haiti region,earthquake,0101000020AD100000931804560E2552C0B6F3FDD478693240,
2009-07-29 10:00:36.71-04,36.799,-104.831,4.1,usp000gzsh,2014-11-06 20:39:23.029-05,New Mexico,earthquake,0101000020AD10000077BE9F1A2F355AC083C0CAA145664240,New Mexico
2014-12-29 08:30:05.1-05,36.361,-97.4511,3,usc000taic,2015-02-03 23:59:38.122-05,"16km WNW of Perry, Oklahoma",earthquake,0101000020AD10000070CE88D2DE5C58C091ED7C3F352E4240,Oklahoma
2014-12-29 06:56:46.66-05,39.6751667,-111.9696667,3.17,uu60096897,2015-02-11 03:24:05.779-05,"12km WSW of Nephi, Utah",earthquake,0101000020AD1000004D21EB040FFE5BC093ECC7DC6BD64340,Utah
2014-12-29 06:08:18.46-05,39.664,-111.9718333,3.66,uu60096887,2015-02-11 03:23:29.495-05,"12km WSW of Nephi, Utah",earthquake,0101000020AD1000007A2A4C8432FE5BC0A245B6F3FDD44340,Utah
2008-05-25 05:45:12.7-04,15.288,-91.894,5,usp000g7qt,2015-02-11 12:18:51-05,Guatemala,earthquake,0101000020AD100000EFA7C64B37F956C0FA7E6ABC74932E40,
2014-12-29 05:04:12.9-05,18.6292,-64.8974,3.1,pr14363000,2015-01-30 09:33:38.799-05,"32km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,0101000020AD1000008CDB68006F3950C0A9A44E4013A13240,
2014-12-28 21:10:28.2-05,18.8756,-64.2228,3.2,pr14362005,2015-01-14 20:14:48.321-05,"65km NE of Road Town, British Virgin Islands",earthquake,0101000020AD1000002063EE5A420E50C0AA60545227E03240,
2014-12-28 17:00:32-05,60.9465,-150.8657,3.1,ak11474602,2015-02-01 17:37:25.46-05,"36km NE of Nikiski, Alaska",earthquake,0101000020AD100000B6847CD0B3DB62C0FED478E926794E40,
2014-12-28 16:39:32.8-05,18.537,-64.4476,3.2,pr14362004,2014-12-28 19:42:07.102-05,"22km NE of Road Town, British Virgin Islands",earthquake,0101000020AD100000226C787AA51C50C0B6F3FDD478893240,
2014-12-28 10:02:56.7-05,35.8147,-97.4181,3,usc000tadx,2015-01-17 04:58:29.936-05,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD100000499D8026C25A58C08E06F01648E84140,Oklahoma
2014-12-28 02:30:58.7-05,18.9904,-65.9692,3.1,pr14362000,2015-01-27 23:33:08.543-05,"59km NNE of San Juan, Puerto Rico",earthquake,0101000020AD10000020D26F5F077E50C05AF5B9DA8AFD3240,
2014-12-27 21:15:47.93-05,58.415,-137.0415,3.5,usc000taax,2015-01-31 19:48:02.961-05,"76km W of Gustavus, Alaska",earthquake,0101000020AD10000017D9CEF7532161C085EB51B81E354D40,Alaska
2014-12-27 19:40:49.33-05,52.637,-163.764,3,usc000tddi,2015-01-31 01:40:14.792-05,"213km SE of Akutan, Alaska",earthquake,0101000020AD1000009CC420B0727864C0A8C64B3789514A40,
2014-12-27 17:22:45-05,67.6721,-162.2403,3.3,ak11474190,2015-02-04 17:44:13.517-05,"16km NNW of Noatak, Alaska",earthquake,0101000020AD1000005227A089B04764C010E9B7AF03EB5040,Alaska
2014-12-27 16:39:57-05,36.2837,-96.8918,3.4,usc000ta8y,2015-02-01 09:53:58.379-05,"9km SW of Pawnee, Oklahoma",earthquake,0101000020AD100000A9A44E40133958C007F0164850244240,Oklahoma
2014-12-27 14:31:07-05,56.4532,-155.0352,3,ak11474117,2015-02-01 12:45:13.659-05,"78km NNE of Chirikof Island, Alaska",earthquake,0101000020AD100000371AC05B206163C00B462575023A4C40,
2014-12-27 13:36:51.8-05,19.141,-66.897,3.2,pr14361006,2015-02-01 12:27:37.959-05,"72km N of Isabela, Puerto Rico",earthquake,0101000020AD100000C420B07268B950C06ABC749318243340,
2014-12-27 13:33:38.4-05,18.402,-99.846,4,usc000tdz6,2015-02-01 12:25:12.6-05,"5km N of Teloloapan, Mexico",earthquake,0101000020AD100000A01A2FDD24F658C0F4FDD478E9663240,
2014-12-27 11:17:14.5-05,35.9107,-97.2513,3,usc000ta7c,2015-01-29 08:37:51.342-05,"3km S of Langston, Oklahoma",earthquake,0101000020AD100000075F984C155058C0CD3B4ED191F44140,Oklahoma
2014-12-27 09:47:12.5-05,19.141,-66.847,3.4,pr14361005,2015-01-29 07:09:44.464-05,"72km N of Hatillo, Puerto Rico",earthquake,0101000020AD10000091ED7C3F35B650C06ABC749318243340,
2014-12-27 08:23:24.76-05,37.0159,-104.8487,3,usc000ta6r,2015-02-07 00:48:47.272-05,"35km WSW of Trinidad, Colorado",earthquake,0101000020AD1000005F07CE1951365AC0D200DE0209824240,Colorado
2014-12-27 03:21:36.2-05,35.8143,-97.4177,3,usc000ta60,2015-02-06 17:09:53.521-05,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD10000082E2C798BB5A58C000917EFB3AE84140,Oklahoma
2014-12-27 02:41:17-05,18.9528,-64.2397,3.3,pr14361003,2015-01-25 00:25:46.362-05,"71km NNE of Road Town, British Virgin Islands",earthquake,0101000020AD1000007A36AB3E570F50C0F9A067B3EAF33240,
2014-12-27 02:18:01.3-05,19.0729,-64.337,3.4,pr14361002,2015-01-25 00:07:31.241-05,"78km NNE of Road Town, British Virgin Islands",earthquake,0101000020AD10000021B07268911550C0DFE00B93A9123340,
2014-12-27 02:14:23.53-05,12.334,-59.7088,4.4,usc000tetq,2015-02-06 17:21:28.51-05,"83km SSW of Oistins, Barbados",earthquake,0101000020AD100000D0B359F5B9DA4DC05FBA490C02AB2840,
2014-12-27 02:04:21.8-05,19.2134,-64.3338,3.8,pr14361000,2015-01-24 19:41:46.884-05,"93km NNE of Road Town, British Virgin Islands",earthquake,0101000020AD100000E8D9ACFA5C1550C066F7E461A1363340,
